source_module	target_module	edge_kind	weight
JobsByPods/JobsSwiftBaseTools@Pods	JobsByPods/JobsNetworking@Pods	calls	1
JobsByPods/JobsSwiftBaseTools@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	1
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsGetWindow@Pods	calls	1
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsInheritance@Pods	calls	1
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	1
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsSwiftWorker@Pods	calls	1
JobsByPods/JobsSwiftFoundation@Pods	JobsByPods/JobsByUIKit@Pods	calls	1
JobsByPods/JobsSwiftStandardLibrary@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	1
JobsByPods/JobsSwiftTimer@Pods	JobsByPods/JobsSwiftStandardLibrary@Pods	calls	1
JobsByPods/JobsSwiftTimer@Pods	JobsByPods/JobsSwiftWorker@Pods	calls	1
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsRefresher@Pods	calls	1
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsSwiftWorker@Pods	calls	1
JobsByPods/JobsTextTools@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	1
JobsByPods/JobsToast@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	1
JobsByPods/JobsToast@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	1
JobsByPods/JobsToast@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	1
JobsByPods/Jobsl10n@Pods	JobsByPods/JobsSwiftBaseTools@Pods	calls	1
JobsByPods/ManualBySwiftPods@Pods	JobsByPods/JobsByUIKit@Pods	calls	1
JobsByPods/ManualBySwiftPods@Pods	JobsByPods/JobsSwiftDebugTools@Pods	calls	1
JobsByPods/ManualBySwiftPods@Pods	my_flutter	calls	1
JobsBySwiftPackageManager	JobsByPods/JobsSwiftWorker@Pods	calls	1
JobsBySwiftPackageManager	JobsSwiftBaseConfigDemo	calls	1
JobsSwiftBaseConfigDemo	JobsByPods/JobsCountdownButton@Pods	calls	1
JobsSwiftBaseConfigDemo	JobsByPods/JobsLocalNotification@Pods	calls	1
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftDebugTools@Pods	calls	1
JobsSwiftBaseConfigDemo	JobsByPods/Jobsl10n@Pods	calls	1
JobsSwiftBaseConfigDemo	JobsBySwiftPackageManager	calls	1
generated	JobsByPods/ManualBySwiftPods@Pods	calls	1
